file,purl,error
011235813@SEPT_sbom.json,,no components
ADARA-Neutrons@adara_sbom.json,pkg:rpm/log4cxx@0.10.0-12.el6?arch=x86_64&epoch=0,failed to get coordinates from purl: pkg:rpm/log4cxx@0.10.0-12.el6?arch=x86_64&epoch=0
ADARA-Neutrons@adara_sbom.json,pkg:rpm/log4cxx@0.10.0-12.el6?arch=x86_64&epoch=0&upstream=log4cxx-0.10.0-12.el6.src.rpm,failed to get coordinates from purl: pkg:rpm/log4cxx@0.10.0-12.el6?arch=x86_64&epoch=0&upstream=log4cxx-0.10.0-12.el6.src.rpm
ADARA-Neutrons@adara_sbom.json,pkg:rpm/log4cxx-devel@0.10.0-12.el6?arch=x86_64&epoch=0&upstream=log4cxx-0.10.0-12.el6.src.rpm,failed to get coordinates from purl: pkg:rpm/log4cxx-devel@0.10.0-12.el6?arch=x86_64&epoch=0&upstream=log4cxx-0.10.0-12.el6.src.rpm
ADARA-Neutrons@adara_sbom.json,pkg:rpm/nexus@4.2.1dad-1?arch=x86_64&epoch=0&upstream=nexus-4.2.1dad-1.src.rpm,failed to get coordinates from purl: pkg:rpm/nexus@4.2.1dad-1?arch=x86_64&epoch=0&upstream=nexus-4.2.1dad-1.src.rpm
AI-multimodal@XAS-NNE_sbom.json,,no components
AI4Plastics@AI4Plastics_sbom.json,,no components
AMF-FLX@AMF-BASE-QAQC_sbom.json,,no components
AMReX-Astro@Emu_sbom.json,,no components
ANL-CEEESA@powersas.m_sbom.json,,no components
APS-XSD-OPT-Group@wavepy_sbom.json,,no components
ARM-Development@qc_aod_sbom.json,,no components
ActiveHarmony@harmony_sbom.json,,no components
AdityaSavara@CiteSoft_Py_sbom.json,,no components
AdityaSavara@MSRESOLVE_sbom.json,,no components
AdityaSavara@PEUQSE_sbom.json,,no components
AdityaSavara@UnitTesterSG_sbom.json,,no components
AdvancedPhotonSource@MAPSToTomoPy_sbom.json,,no components
AdvancedPhotonSource@cd_sbom.json,,no components
AgileBioFoundry@FA-NGS_sbom.json,,no components
AndrewCWalker@rsm_tool_suite_sbom.json,,no components
Argonne-National-Laboratory@APPROD_sbom.json,,no components
Argonne-National-Laboratory@Frhodo_sbom.json,,no components
Argonne-National-Laboratory@cyber-defense-competition_sbom.json,,no components
Argonne-National-Laboratory@goose_sbom.json,,no components
Argonne-National-Laboratory@pycreep_sbom.json,,no components
Argonne-National-Laboratory@urbansim-isomodel_sbom.json,,no components
Art-MC@SkyrmNet_demo_sbom.json,,no components
BNL-NowCasting@SolarForecastin_sbom.json,,no components
BQSKit@qfactor_sbom.json,,no components
BQSKit@qfas_sbom.json,,no components
BeTR-biogeochemistry-modeling@sbetr_sbom.json,,no components
BerkeleyLab@BWUDP_sbom.json,,no components
BerkeleyLab@CAL-BPM_sbom.json,,no components
BerkeleyLab@ISO_Fortran_binding_m_sbom.json,,no components
BerkeleyLab@LBNL-Cell-controller_sbom.json,,no components
BerkeleyLab@LBNL-DSBPM_sbom.json,,no components
BerkeleyLab@LBNL-Digitizers_sbom.json,,no components
BerkeleyLab@LBNL-Dual-EVG_sbom.json,,no components
BerkeleyLab@LBNL-EVFR_sbom.json,,no components
BerkeleyLab@XVC-FTDI-JTAG_sbom.json,,no components
BerkeleyLab@nexpor_sbom.json,,no components
Biomass-Autothermal-Pyrolysis@CFDCodes_sbom.json,,no components
Biomass-Autothermal-Pyrolysis@HomogeneousModels_sbom.json,,no components
Biomass-Autothermal-Pyrolysis@ReducedOrderModel_sbom.json,,no components
BiosecSFA@gentangle_sbom.json,,no components
BoianAlexandrov@HNMF_sbom.json,,no components
BoianAlexandrov@ShiftNMFk.jl_sbom.json,,no components
BrookhavenNationalLaboratory@pyRafters_sbom.json,,no components
CASL@Futility_sbom.json,,no components
CASL@VERAin_sbom.json,,no components
CASL@VERAview_sbom.json,,no components
CBIIT@NCI-DOE-Collab-Pilot1-Semi-Supervised-Feature-Learning-with-Center-Loss_sbom.json,,no components
CBIIT@pilot3_MT-CNN_ORNL_sbom.json,,no components
CCSI-Toolset@DeeperFluids_sbom.json,,no components
CCSI-Toolset@MGN_sbom.json,,no components
CDAT@EzGe_sbom.json,,no components
CDAT@Jupyter-notebooks_sbom.json,,no components
CDAT@TestsRunner_sbom.json,,no components
CDAT@UV-CDAT_scientific_examples_sbom.json,,no components
CDAT@analytics_scripts_sbom.json,,no components
CDAT@cd77_sbom.json,,no components
CDAT@cda_sbom.json,,no components
CDAT@cdat.github.io_sbom.json,,no components
CDAT@cdp_sbom.json,,no components
CDAT@changelogger_sbom.json,,no components
CDAT@ci-bots_sbom.json,,no components
CDAT@compute_graph_sbom.json,,no components
CDAT@conda-recipes_sbom.json,,no components
CDAT@distarray_sbom.json,,no components
CDAT@e3sm_nex_sbom.json,,no components
CDAT@image-compare_sbom.json,,no components
CDAT@jupyter-vcda_sbom.json,,no components
CDAT@jupyterlab-tutorial-extension_sbom.json,,no components
CDAT@jupyterlab-tutorial_sbom.json,,no components
CDAT@lats_sbom.json,,no components
CDAT@libcf_sbom.json,,no components
CDAT@staticView_sbom.json,,no components
CDAT@thermo_sbom.json,,no components
CDAT@unidata_sbom.json,,no components
CDAT@uvcdat-testdata_sbom.json,,no components
CDAT@uvcmetrics_sbom.json,,no components
CDAT@vcs_sbom.json,,no components
CDAT@vcsaddons_sbom.json,,no components
CDAT@wk_sbom.json,,no components
CDAT@xmgrace_sbom.json,,no components
CDCgov@AlignmentViewer_sbom.json,,no components
CDCgov@Bubbles_sbom.json,,no components
CDCgov@COVIDReportR_AShinyApp_sbom.json,,no components
CDCgov@CSV2FASTA_sbom.json,,no components
CDCgov@Dash_FileUploader_sbom.json,,no components
CDCgov@EPHTrackin_sbom.json,,no components
CDCgov@IMslide_1_sbom.json,,no components
CDCgov@KPIP_sbom.json,,no components
CDCgov@MaRS_sbom.json,,no components
CDCgov@Mia_publication_sbom.json,,no components
CDCgov@MicrobeTraceShiny_sbom.json,,no components
CDCgov@NeST-nf_sbom.json,,no components
CDCgov@PoSE_sbom.json,,no components
CDCgov@Proximate_sbom.json,,no components
CDCgov@SARS-CoV-2_Sequencin_sbom.json,,no components
CDCgov@SanitizeMePaired_sbom.json,,no components
CDCgov@SanitizeMe_sbom.json,,no components
CDCgov@SeqSpawnR_sbom.json,,no components
CDCgov@ShinyGanttCharts_sbom.json,,no components
CDCgov@TableMerger_sbom.json,,no components
CDCgov@covid19healthbo_sbom.json,,no components
CDCgov@covid_case_privacy_review_sbom.json,,no components
CDCgov@excessdeathsCOVID19_sbom.json,,no components
CDCgov@fdns-ms-crypto_sbom.json,,no components
CDCgov@fileto_sbom.json,,no components
CDCgov@geneflow-workflows_sbom.json,,no components
CDCgov@geneflow_sbom.json,,no components
CDCgov@legionella_pneumophila_SBT_analysis_sbom.json,,no components
CDCgov@legionella_pneumophila_genomics_sbom.json,,no components
CDCgov@legionella_pneumophila_genomics_speciesID_sbom.json,,no components
CDCgov@mycosnp-bwa-pre-process_sbom.json,,no components
CDCgov@mycosnp-bwa-reference_sbom.json,,no components
CDCgov@mycosnp-gatk-variants_sbom.json,,no components
CDCgov@mycosnp_sbom.json,,no components
CDCgov@openshift-fluentd-forwarder_sbom.json,,no components
CDCgov@phlip-backend_sbom.json,,no components
CDCgov@prime-devops_sbom.json,,no components
CDCgov@prime-field-teams_sbom.json,,no components
CDCgov@shinyMBA_sbom.json,,no components
CDCgov@spheres-auspice-data_sbom.json,,no components
CLDruzgalski@AM_fileConverters_sbom.json,,no components
CSD-Public@stonix_sbom.json,,no components
ClaireBookworm@gbbs_sbom.json,,no components
Code-dot-mil@crossfeed-agen_sbom.json,,no components
Critical-Materials-Institute@NPS_sbom.json,,no components
Cybersecurity-Tools@V2W-BERT_sbom.json,,no components
DOE-ICoM@geowq-chesapeake_sbom.json,,no components
Dbross@CM_DVR_sbom.json,,no components
DmitryLyakh@TAL_SH_sbom.json,,no components
DuaneDJohnson@Hybrid-Cuckoo-Search_sbom.json,,no components
E3SM-Project@COMPOSE_sbom.json,,no components
E3SM-Project@EKAT_sbom.json,,no components
E3SM-Project@HOMMEXX_sbom.json,,no components
E3SM-Project@a-prime_sbom.json,,no components
E3SM-Project@codesign-kernels_sbom.json,,no components
E3SM-Project@iESM_sbom.json,,no components
E3SM-Project@scorpio_sbom.json,,no components
E3SM-Project@sta-imex_sbom.json,,no components
ECP-ExaGraph@Submodular-b-matchin_sbom.json,,no components
ECP-ExaGraph@grappolo_sbom.json,,no components
ECP-ExaGraph@mel_sbom.json,,no components
ECP-ExaGraph@netAlign_sbom.json,,no components
ECP-ExaGraph@neve_sbom.json,,no components
ECP-ExaGraph@vite_sbom.json,,no components
ECP-VeloC@VELOC_sbom.json,,no components
ECP-copa@ExaMiniMD_sbom.json,,no components
ECP-copa@ExaSP2_sbom.json,,no components
EMSL-Computing@PeakDecoder_sbom.json,,no components
EMSL-Computing@nmRanalysis_sbom.json,,no components
EMSL-MSC@MscClusterMgm_sbom.json,,no components
EMSL-MSC@amalgam_sbom.json,,no components
EMSL-MSC@ovirtap_sbom.json,,no components
EMSL-MSC@service-poke_sbom.json,,no components
EMSL-MSC@terraform-provider-ovir_sbom.json,,no components
ESGF@DiagnosticsViewer_sbom.json,,no components
ESGF@apache-frontend_sbom.json,,no components
ESGF@compute_sbom.json,,no components
ESGF@conf_sbom.json,,no components
ESGF@dream_sbom.json,,no components
ESGF@esgf-build_sbom.json,,no components
ESGF@esgf-ca_sbom.json,,no components
ESGF@esgf-compute-ap_sbom.json,,no components
ESGF@esgf-compute-wps_sbom.json,,no components
ESGF@esgf-dashboard_sbom.json,,no components
ESGF@esgf-docker_sbom.json,,no components
ESGF@esgf-drslib_sbom.json,,no components
ESGF@esgf-ingestion_sbom.json,,no components
ESGF@esgf-publisher-resources_sbom.json,,no components
ESGF@esgf-slcs-server-playbook_sbom.json,,no components
ESGF@esgf-sw_sbom.json,,no components
ESGF@esgf-test-suite_sbom.json,,no components
ESGF@esgf-utils_sbom.json,,no components
ESGF@esgf.github.io_sbom.json,,no components
ESGF@icnw_sbom.json,,no components
ESGF@output_viewer_sbom.json,,no components
Electro1111@COVID_19_CXR_CLASSIFICATION_sbom.json,,no components
Electrostatics@GIBS_sbom.json,,no components
Electrostatics@VR_sbom.json,,no components
Electrostatics@apbs_sbom.json,pkg:github/docker%3A/#pandoc/core:2.16.2,failed to parse purl into a package with error: purl is missing name
Electrostatics@go2pdb_sbom.json,,no components
EnderWiggin14@ARCHPARSE_sbom.json,,no components
Epi-Info@Epi-Info-iOS_sbom.json,,no components
FNALssi@poly-cmake_sbom.json,,no components
FNCS@fncs_sbom.json,,no components
FUSED-Wind@fusedwind_sbom.json,,no components
FrankieLi@IceNine_sbom.json,,no components
FreeON@spammpack_sbom.json,,no components
FusionRFModelingMachineLearning@genray-cql3d-ml_sbom.json,,no components
GLVis@doxygen_sbom.json,,no components
GSA@.Gov-Content-as-an-API_sbom.json,,no components
GSA@2233-USWDS-Digital-Dashboard_sbom.json,,no components
GSA@2312-Occupancy-Patterns_sbom.json,,no components
GSA@2317-Federal-Coworking-Developmental-Phase-Evaluation_sbom.json,,no components
GSA@ACR-schema_sbom.json,,no components
GSA@AI-Assistant-Pilo_sbom.json,,no components
GSA@AI_Grand_Challenge_For_Resiliency_sbom.json,,no components
GSA@AP-Email-Notifications_sbom.json,,no components
GSA@API-Resources_sbom.json,,no components
GSA@ASP-.NET-Core-Template_sbom.json,,no components
GSA@Acquisition-Supplemental-Regulations_sbom.json,,no components
GSA@AppRatDataDictionary_sbom.json,,no components
GSA@BSP_Mode1_Reportin_sbom.json,,no components
GSA@BrianRPA_sbom.json,,no components
GSA@Broadcast-Message_sbom.json,,no components
GSA@CAP-Documentation_sbom.json,,no components
GSA@CF-Report-Server_sbom.json,,no components
GSA@CIO.gov_sbom.json,,no components
GSA@CSS_2020_text_analysis_sbom.json,,no components
GSA@Canada-USA-Digital-Collaboration_sbom.json,,no components
GSA@Challenge_gov_sbom.json,pkg:hex/bamboo@1.7.1,failed to get coordinates from purl: pkg:hex/bamboo@1.7.1
GSA@Challenge_gov_sbom.json,pkg:hex/bamboo_smtp@2.1.0,failed to get coordinates from purl: pkg:hex/bamboo_smtp@2.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/bcrypt_elixir@2.3.1,failed to get coordinates from purl: pkg:hex/bcrypt_elixir@2.3.1
GSA@Challenge_gov_sbom.json,pkg:hex/browser@0.4.4,failed to get coordinates from purl: pkg:hex/browser@0.4.4
GSA@Challenge_gov_sbom.json,pkg:hex/bunt@1.0.0,failed to get coordinates from purl: pkg:hex/bunt@1.0.0
GSA@Challenge_gov_sbom.json,pkg:hex/certifi@2.12.0,failed to get coordinates from purl: pkg:hex/certifi@2.12.0
GSA@Challenge_gov_sbom.json,pkg:hex/combine@0.10.0,failed to get coordinates from purl: pkg:hex/combine@0.10.0
GSA@Challenge_gov_sbom.json,pkg:hex/comeonin@5.5.1,failed to get coordinates from purl: pkg:hex/comeonin@5.5.1
GSA@Challenge_gov_sbom.json,pkg:hex/cors_plug@3.0.3,failed to get coordinates from purl: pkg:hex/cors_plug@3.0.3
GSA@Challenge_gov_sbom.json,pkg:hex/cowboy@2.13.0,failed to get coordinates from purl: pkg:hex/cowboy@2.13.0
GSA@Challenge_gov_sbom.json,pkg:hex/cowboy_telemetry@0.3.1,failed to get coordinates from purl: pkg:hex/cowboy_telemetry@0.3.1
GSA@Challenge_gov_sbom.json,pkg:hex/cowlib@2.14.0,failed to get coordinates from purl: pkg:hex/cowlib@2.14.0
GSA@Challenge_gov_sbom.json,pkg:hex/credo@1.7.11,failed to get coordinates from purl: pkg:hex/credo@1.7.11
GSA@Challenge_gov_sbom.json,pkg:hex/credo_contrib@0.2.0,failed to get coordinates from purl: pkg:hex/credo_contrib@0.2.0
GSA@Challenge_gov_sbom.json,pkg:hex/credo_envvar@0.1.4,failed to get coordinates from purl: pkg:hex/credo_envvar@0.1.4
GSA@Challenge_gov_sbom.json,pkg:hex/credo_naming@2.1.0,failed to get coordinates from purl: pkg:hex/credo_naming@2.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/crontab@1.1.14,failed to get coordinates from purl: pkg:hex/crontab@1.1.14
GSA@Challenge_gov_sbom.json,pkg:hex/db_connection@2.7.0,failed to get coordinates from purl: pkg:hex/db_connection@2.7.0
GSA@Challenge_gov_sbom.json,pkg:hex/decimal@2.3.0,failed to get coordinates from purl: pkg:hex/decimal@2.3.0
GSA@Challenge_gov_sbom.json,pkg:hex/earmark@1.4.47,failed to get coordinates from purl: pkg:hex/earmark@1.4.47
GSA@Challenge_gov_sbom.json,pkg:hex/ecto@3.12.5,failed to get coordinates from purl: pkg:hex/ecto@3.12.5
GSA@Challenge_gov_sbom.json,pkg:hex/ecto_sql@3.12.1,failed to get coordinates from purl: pkg:hex/ecto_sql@3.12.1
GSA@Challenge_gov_sbom.json,pkg:hex/elixir_make@0.9.0,failed to get coordinates from purl: pkg:hex/elixir_make@0.9.0
GSA@Challenge_gov_sbom.json,pkg:hex/elixir_uuid@1.2.1,failed to get coordinates from purl: pkg:hex/elixir_uuid@1.2.1
GSA@Challenge_gov_sbom.json,pkg:hex/erlport@0.11.0,failed to get coordinates from purl: pkg:hex/erlport@0.11.0
GSA@Challenge_gov_sbom.json,pkg:hex/ex_aws@2.2.5,failed to get coordinates from purl: pkg:hex/ex_aws@2.2.5
GSA@Challenge_gov_sbom.json,pkg:hex/ex_aws_s3@2.5.6,failed to get coordinates from purl: pkg:hex/ex_aws_s3@2.5.6
